symbol,valid_from,valid_to,source,source_url,notes,needs_manual_audit,referenced_document
KSBPUMPS,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
KSCL,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
KTKBANK,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
KWALITY,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
LAKSHVILAS,2014-01-01,2020-06-26,snapshot_floor,,closed by ind_prs10062020.pdf,True,ind_prs10062020.pdf
LALPATHLAB,2014-01-01,,snapshot_floor,,,True,
LAOPALA,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
LAXMIMACH,2014-01-01,2024-03-28,snapshot_floor,,closed by ind_prs28022024.pdf,True,ind_prs28022024.pdf
LICHSGFIN,2014-01-01,,snapshot_floor,,,True,
LINDEINDIA,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
LITL,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
LT,2014-01-01,,snapshot_floor,,,True,
LTF,2014-01-01,,snapshot_floor,,,True,
LUPIN,2014-01-01,,snapshot_floor,,,True,
M&M,2014-01-01,,snapshot_floor,,,True,
M&MFIN,2014-01-01,,snapshot_floor,,,True,
MAGMA,2014-01-01,2020-06-26,snapshot_floor,,closed by ind_prs10062020.pdf,True,ind_prs10062020.pdf
MAHINDCIE,2014-01-01,2020-09-25,snapshot_floor,,closed by ind_prs20082020.pdf,True,ind_prs20082020.pdf
MAHLIFE,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
MANAPPURAM,2014-01-01,,snapshot_floor,,,True,
MANDHANA,2014-01-01,2015-12-14,snapshot_floor,,closed by ind_prs07122015.pdf,True,ind_prs07122015.pdf
MANGCHEFER,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
MANPASAND,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
MARICO,2014-01-01,,snapshot_floor,,,True,
MARUTI,2014-01-01,,snapshot_floor,,,True,
MAX,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs24082015.pdf,True,ind_prs24082015.pdf
MCLEODRUSS,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
MFSL,2014-01-01,2017-01-23,snapshot_floor,,closed by ind_prs16012017.pdf,True,ind_prs16012017.pdf
MHRIL,2014-01-01,2024-09-30,snapshot_floor,,closed by ind_prs23082024.pdf,True,ind_prs23082024.pdf
MMTC,2014-01-01,,snapshot_floor,,,True,
MOIL,2014-01-01,2023-03-31,snapshot_floor,,closed by ind_prs17022023_1.pdf,True,ind_prs17022023_1.pdf
MONNETISPA,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
MONSANTO,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
MOTHERSON,2014-01-01,2021-06-30,snapshot_floor,,closed by ind_prs15062021.pdf,True,ind_prs15062021.pdf
MOTILALOFS,2014-01-01,,snapshot_floor,,,True,
MPHASIS,2014-01-01,,snapshot_floor,,,True,
MRF,2014-01-01,,snapshot_floor,,,True,
