date,tri,tri_wealth_from_development_anchor
2021-01-21,18227.91,18435307.206068266
2021-01-22,17983.28,18187893.805309735
2021-01-25,17815.21,18017911.50442478
2021-01-27,17516.93,17716237.673830595
2021-01-28,17359.8,17557319.8482933
2021-01-29,17147.27,17342371.68141593
2021-02-01,17857.07,18060247.78761062
2021-02-02,18286.87,18494938.053097345
2021-02-03,18470.15,18680303.413400758
2021-02-04,18640.59,18852682.68015171
2021-02-05,18631.61,18843600.505689003
2021-02-08,18876.94,19091721.871049304
2021-02-09,18867.87,19082548.672566373
2021-02-10,18896.0,19110998.735777497
2021-02-11,18993.38,19209486.725663718
2021-02-12,18984.95,19200960.8091024
2021-02-15,19174.53,19392697.850821745
2021-02-16,19197.73,19416161.820480406
2021-02-17,19127.05,19344677.623261694
2021-02-18,19079.01,19296091.024020225
2021-02-19,18886.34,19101228.824273072
2021-02-22,18551.85,18762932.996207334
2021-02-23,18629.78,18841749.683944374
2021-02-24,18920.72,19136000.0
2021-02-25,19091.93,19309158.027812894
2021-02-26,18504.86,18715408.34386852
2021-03-01,18788.79,19002568.900126424
2021-03-02,19018.35,19234740.83438685
2021-03-03,19391.15,19611782.553729456
2021-03-04,19275.76,19495079.646017697
2021-03-05,19048.33,19265061.94690266
2021-03-08,19080.72,19297820.480404552
2021-03-09,19169.29,19387398.230088495
2021-03-10,19282.39,19501785.08217446
2021-03-12,19134.34,19352050.568900127
2021-03-15,19009.24,19225527.18078382
2021-03-16,19013.09,19229420.98609355
2021-03-17,18720.14,18933137.800252844
2021-03-18,18500.44,18710938.053097345
2021-03-19,18713.4,18926321.112515803
2021-03-22,18751.47,18964824.27307206
2021-03-23,18872.96,19087696.586599242
2021-03-24,18538.4,18749329.962073326
2021-03-25,18229.33,18436743.36283186
2021-03-26,18465.85,18675954.487989888
2021-03-30,18830.03,19044278.128950696
2021-03-31,18717.24,18930204.804045513
2021-04-01,18968.55,19184374.209860936
2021-04-05,18694.76,18907469.02654867
2021-04-06,18785.23,18998968.39443742
2021-04-07,18972.6,19188470.290771175
2021-04-08,19065.82,19282750.948166877
2021-04-09,19044.22,19260905.183312263
2021-04-12,18279.05,18487029.077117573
2021-04-13,18526.24,18737031.605562583
2021-04-15,18603.68,18815352.718078382
2021-04-16,18695.58,18908298.356510747
2021-04-19,18359.48,18568374.209860936
2021-04-20,18327.47,18536000.0
2021-04-22,18444.73,18654594.184576485
2021-04-23,18404.47,18613876.10619469
2021-04-26,18573.67,18785001.2642225
2021-04-27,18795.17,19009021.49178255
2021-04-28,19031.44,19247979.77243995
2021-04-29,19058.16,19275003.792667508
2021-04-30,18802.03,19015959.5448799
2021-05-03,18848.97,19063433.628318585
2021-05-04,18704.85,18917673.830594186
2021-05-05,18876.03,19090801.517067004
2021-05-06,19011.17,19227479.140328694
2021-05-07,19104.24,19321608.091024023
2021-05-10,19266.67,19485886.21997471
2021-05-11,19225.1,19443843.23640961
2021-05-12,19066.54,19283479.140328698
2021-05-14,18966.49,19182290.77117573
2021-05-17,19270.53,19489790.139064476
2021-05-18,19524.65,19746801.517067004
2021-05-19,19478.9,19700530.973451328
2021-05-20,19368.54,19588915.29709229
2021-05-21,19644.37,19867883.69152971
2021-05-24,19712.23,19936515.80278129
2021-05-25,19717.29,19941633.375474084
2021-05-26,19807.35,20032718.078381795
2021-05-27,19874.32,20100450.063211124
2021-05-28,19952.29,20179307.206068266
2021-05-31,20138.1,20367231.352718078
2021-06-01,20113.79,20342644.753476612
2021-06-02,20210.99,20440950.69532238
2021-06-03,20376.14,20607979.77243995
2021-06-04,20396.67,20628743.362831857
2021-06-07,20527.27,20760829.329962075
2021-06-08,20553.02,20786872.31352718
