date,strategy,after_tax_nav,after_tax_daily_return,tax_liability,tax_paid_before_close,daily_fees_and_impact,realised_equity_exposure,nav_status,matched_before_tax_nav,matched_cost_tax_reversed_nav,after_tax_return,matched_before_tax_return,matched_cost_tax_reversed_return,zero_friction_reference_nav,zero_friction_reference_return
2015-06-12,FIXVOL,9543609.568898495,-0.004659072363432437,0.0,-0.0,0.0,0.638062826862146,PRE_RIGHT_AUDITED,9543609.568898495,9586258.949999997,-0.004659072363432437,-0.004659072363432437,-0.004638440241416131,9564049.810040439,-0.0045256398934354685
2015-06-15,FIXVOL,9568986.918898493,0.002659093482061392,0.0,-0.0,0.0,0.6389541183220483,PRE_RIGHT_AUDITED,9568986.918898493,9611636.299999995,0.002659093482061392,0.002659093482061392,0.002647263143251255,9586715.108676882,0.0023698432240127285
2015-06-16,FIXVOL,9612776.968898494,0.004576247242382259,0.0,-0.0,0.0,0.6405988269491312,PRE_RIGHT_AUDITED,9612776.968898494,9655426.349999996,0.004576247242382259,0.004576247242382259,0.004555941218874482,9624904.54351676,0.003983578776145384
2015-06-17,FIXVOL,9723579.618898494,0.01152660155941354,0.0,-0.0,0.0,0.6446065950668934,PRE_RIGHT_AUDITED,9723579.618898494,9766228.999999996,0.01152660155941354,0.01152660155941354,0.011475686933285933,9733830.464382008,0.011317091029086514
2015-06-18,FIXVOL,9811346.268898495,0.00902616664231548,0.0,-0.0,0.0,0.6477857396743922,PRE_RIGHT_AUDITED,9811346.268898495,9853995.649999997,0.00902616664231548,0.00902616664231548,0.008986749133160776,9817597.755263453,0.00860578897361805
2015-06-19,FIXVOL,9838247.118898494,0.002741810273812595,0.0,-0.0,0.0,0.6487488038127873,PRE_RIGHT_AUDITED,9838247.118898494,9880896.499999996,0.002741810273812595,0.002741810273812595,0.002729943360589848,9844109.986190872,0.0027004804625657855
2015-06-22,FIXVOL,9950901.968898494,0.011450703426995501,0.0,-0.0,0.0,0.6527253429187366,PRE_RIGHT_AUDITED,9950901.968898494,9993551.349999996,0.011450703426995501,0.011450703426995501,0.011401278213975852,9952735.966674803,0.011034616703420472
2015-06-23,FIXVOL,9952592.768898495,0.00016991424549095413,0.0,-0.0,0.0,0.6527843398056611,PRE_RIGHT_AUDITED,9952592.768898495,9995242.149999997,0.00016991424549095413,0.00016991424549095413,0.0001691891041317728,9952337.054071847,-4.00806978394142e-05
2015-06-24,FIXVOL,9903044.418898493,-0.0049784363884392,0.0,-0.0,0.0,0.6509113841495808,PRE_RIGHT_AUDITED,9903044.418898493,9945693.799999995,-0.0049784363884392,-0.0049784363884392,-0.004957193558337347,9904401.839552743,-0.004816478205939774
2015-06-25,FIXVOL,9938896.418898493,0.0036203008371427092,0.0,-0.0,0.0,0.6521217323158617,PRE_RIGHT_AUDITED,9938896.418898493,9981545.799999995,0.0036203008371427092,0.0036203008371427092,0.0036047761695618963,9939057.620824305,0.0034990281930166265
2015-06-26,FIXVOL,9973334.418898495,0.003464972221112861,0.0,-0.0,0.0,0.6533229586338928,PRE_RIGHT_AUDITED,9973334.418898495,10015983.799999997,0.003464972221112861,0.003464972221112861,0.00345016700719869,9970273.564891582,0.003140734791784834
2015-06-29,FIXVOL,9862599.118898494,-0.011103137160443421,0.0,-0.0,0.0,0.6494305378109448,PRE_RIGHT_AUDITED,9862599.118898494,9905248.499999996,-0.011103137160443421,-0.011103137160443421,-0.011055858536831997,9864408.699568266,-0.010618050210387284
